source_paper,star_name,cluster_name,source_id,ra,dec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,parallax,parallax_error,bp_rp_0,ruwe,phot_g_mean_mag,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days
Mamonova2025,2MASS J02590284-6120000,,4721962812741729792,44.76234365421,-61.33327656451,0.97,0.045,0.009,0.009,13.310261018269191,0.0226,,1.3802253,,02590284-6120000,10.744,0.023,0.0010797097663628,5.537022853192283e-05,10.742920290233638,6.371650578489035,0.3833150484511964,0.0091959419604126,0.0093185114600704,131.7916818471322,0.007360100322,9.769492046382371
Mamonova2025,2MASS J03050556-5317182,,4734936122236789120,46.27381939716,-53.28846069514,0.444,0.045,0.009,0.009,22.50107084393793,0.0235,,1.2789296,,03050556-5317182,10.261,0.021,0.0,0.0,10.261,7.026102224736691,0.2853338006284806,0.006849058955783,0.0069206014861867,233.1958761317165,0.0019039787811222,47.656230510866166
Mamonova2025,2MASS J03074682+2457555,,111731654357442816,46.9463800868,24.96481523462,4.3,0.024,0.003,0.003,38.816151119414975,0.0232,,1.5795689,,03074682+2457555,9.267,0.02,0.0,0.0,9.267,7.215597570657092,0.2604086039956381,0.0061961146759464,0.0062919829813802,222.0231567410448,0.0193673491680657,44.25082552090406
Mamonova2025,2MASS J03083950-3844363,,5044769256174659456,47.16499875292,-38.74342225242,0.689,0.045,0.009,0.009,17.773729002285975,0.0197,,1.130069,,03083950-3844363,10.418,0.023,0.0,0.0,10.418,6.67334375247132,0.3361573128131394,0.0081667709573312,0.0082772707410726,192.58018711475148,0.0035777304525592,31.75309082929272
Mamonova2025,2MASS J03104941-3616471,,5046815924054174848,47.70639966706,-36.27983274939,0.66,0.045,0.009,0.009,23.10958707617052,0.0164,,1.2434089,,03104941-3616471,9.787,0.023,0.0,0.0,9.787,6.610628233327235,0.3457332774018368,0.0083625143246214,0.0084640805098131,180.0823563309277,0.0036649898049265,27.010594366740296
Mamonova2025,2MASS J03114544-4719501,,4750820491845428480,47.93993873009,-47.33063287453,4.88,0.045,0.009,0.009,22.415014623506742,0.0159,,1.449683,,03114544-4719501,9.574,0.021,0.0,0.0,9.574,6.33145883824985,0.3897705957054444,0.009183424038362,0.009276483662076,124.84293078265964,0.0390891175768345,9.242719390435736
Mamonova2025,2MASS J03204757-5041330,,4737112944804903040,50.19883373767,-50.6925181603,6.2,0.045,0.009,0.009,22.80582809732299,0.0132,2.3196876,1.0902954,,03204757-5041330,8.561,0.022,0.0,0.0,8.561,5.350584308808847,0.54890085421883,0.0131966339660261,0.0134506173417978,58.706147639351386,0.1056107451997765,4.113273031091226
Mamonova2025,2MASS J03244056-3904227,,4853494193317166848,51.16951427591,-39.07304300805,22.4,0.045,0.009,0.009,21.33237312845684,0.0189,,1.3679862,,03244056-3904227,9.017,0.023,0.0,0.0,9.017,5.662942943962918,0.4992645730462894,0.0119355914600549,0.0119910458625728,69.59186114951508,0.3218767199209484,5.094192836921383
Mamonova2025,2MASS J03282609-0537361,,3248236559980000512,52.1092919063,-5.62684485284,1.06,0.024,0.003,0.003,35.76242415757404,0.0219,,1.4279735,,03282609-0537361,9.44,0.023,0.0,0.0,9.44,7.210486418741548,0.2610698254112737,0.0064043572291626,0.006462667244699,222.31954924060344,0.004767911790127,44.34116489681528
Mamonova2025,2MASS J03291649-3702502,,4859766769714787072,52.31929891167,-37.04732735753,0.541,0.045,0.009,0.009,23.479043124461644,0.0157,,1.3511479,,03291649-3702502,9.784,0.023,0.0,0.0,9.784,6.641852656091425,0.3409604518669027,0.0082486283690261,0.0083211919623318,186.31149025720865,0.0029037393198515,29.374336212916425
Mamonova2025,2MASS J03320347-5139550,,4736393250021662976,53.01483995496,-51.66524097974,5.414,0.042,0.0019,0.002,13.105729822861749,0.0135,2.108369,1.1482506,,03320347-5139550,9.346,0.034,0.0015831565010819,8.118761015915922e-05,9.344416843498918,4.932052466157984,0.6117626687816738,0.0154291758118392,0.0155190034779626,42.46061922190501,0.1275063835434357,2.380692930928737
Mamonova2025,2MASS J03363144-2619578,,5084713036143375744,54.1314729605,-26.33287530055,0.2,0.024,0.003,0.003,21.67856097177205,0.1034,,4.669819,,03363144-2619578,9.763,0.021,0.0,0.0,9.763,6.449702325017483,0.3708831688233204,0.0089418310548956,0.009047277089046,147.25860428946396,0.00135815493407,14.555110640250575
Mamonova2025,2MASS J03364764-5545081,,4730672387943135616,54.19846408034,-55.75124359679,3.001,0.024,0.003,0.003,33.82650301265995,0.021,2.834287,1.5016403,,03364764-5545081,9.008,0.021,0.0,0.0,9.008,6.654412179296112,0.3390490097940218,0.0081078629137896,0.0081595807776751,188.8061610925772,0.0158946084313875,30.32097789951067
Mamonova2025,2MASS J03393700+4531160,,244734765608363136,54.90449103121,45.52079637027,3.352,0.024,0.003,0.003,24.82053292010995,0.0256,,1.291808,,03393700+4531160,9.087,0.014,0.0,0.0,9.087,6.062834528690084,0.4336237483702116,0.0099005351432068,0.0100197945429061,80.9149034061385,0.0414262374284155,5.914703145372354
Mamonova2025,2MASS J03415608-5542408,,4731400745677079808,55.48557688824,-55.71022691147,1.69,0.024,0.003,0.003,36.813470942331726,0.0135,,1.2340308,,03415608-5542408,9.444,0.021,0.0,0.0,9.444,7.2766727859586435,0.2527853236381655,0.0060849459872705,0.0061505988307387,218.6060213208077,0.0077308026091371,43.20929484206437
Mamonova2025,2MASS J03454058-7509121,,4628964641797092352,56.42025800171,-75.15330618279,0.7,0.024,0.003,0.003,17.517915664597638,0.0134,,1.2589391,,03454058-7509121,10.01,0.023,0.0,0.0,10.01,6.232087309578025,0.4059231054027907,0.0097058276571802,0.009759425596623,107.45636934443604,0.0065142718320981,7.924674599132274
Mamonova2025,2MASS J03512287-5154582,,4829047067669501056,57.84585376394,-51.91611218862,0.41,0.045,0.009,0.009,18.03253490967367,0.1245,,9.959621,,03512287-5154582,9.767,0.023,0.0,0.0,9.767,6.053103864755899,0.4352085009613653,0.0105051081256066,0.0107413304817493,80.64153358416449,0.0050842287066885,5.894893737982933
Mamonova2025,2MASS J03561624-3915219,,4843589861294177536,59.06813860373,-39.25609588869,3.9,0.045,0.009,0.009,17.769890423174623,0.5051,,6.0779333,,03561624-3915219,9.602,0.021,0.0,0.0,9.602,5.843798370001311,0.4695129781784283,0.0141996043243956,0.0144540940681186,74.72401126422112,0.0521920589381872,5.4660877727696455
Mamonova2025,2MASS J04053964-4014103,,4843959091042621312,61.41545019522,-40.23623627431,0.44,0.045,0.009,0.009,19.924034421066125,0.3957,,6.1733637,,04053964-4014103,8.981,0.021,0.0,0.0,8.981,5.482988809913563,0.5279985334238112,0.0144486078593077,0.014717032829305,64.63525298439258,0.0068074306153987,4.73501833220236
Mamonova2025,2MASS J04074372-6825111,,4668269708587377664,61.9329593397,-68.4196782474,1.018,0.045,0.009,0.009,16.387926296936673,0.0126,,1.2964587,,04074372-6825111,9.521,0.02,0.0,0.0,9.521,5.598239271430046,0.5097036954729011,0.0120242801285139,0.012125567490224,67.79111253092458,0.0150167177081747,4.963703806588737
Mamonova2025,2MASS J04080707-7127009,,4653866999617253376,62.02973771625,-71.44977646512,5.2,0.024,0.003,0.003,17.323639830981925,0.0123,1.8205317,1.0228227,,04080707-7127009,8.835,0.025,0.0,0.0,8.835,5.02829314384007,0.5977322336493782,0.0147482231620359,0.0148554367566658,44.27996297329797,0.117434605876607,2.571596623355344
Mamonova2025,2MASS J04082685-7844471,,4625883599760005760,62.11308976164,-78.74622616488,3.087,0.045,0.009,0.009,17.33187586265554,0.0162,1.9126209,1.0209252,,04082685-7844471,8.403,0.023,0.0,0.0,8.403,4.597725669993295,0.6597696829489039,0.0159654943225944,0.016165588017357,37.769648123278536,0.0817322944053956,1.8937646443754037
Mamonova2025,2MASS J04091413-4008019,,4843859619599388928,62.30916937278,-40.13388323517,3.275,0.042,0.0019,0.002,13.2570565010624,0.0127,2.3419142,1.3071729,,04091413-4008019,9.768,0.021,0.0011422378293358,5.857637658818119e-05,9.766857762170664,5.386566742214951,0.5433590623152211,0.0130018088472483,0.0131733734361565,60.34335130458896,0.0542727563053155,4.288235318333733
Mamonova2025,2MASS J04133609-4413325,,4838601651916263040,63.40082306236,-44.2256651387,0.778,0.045,0.009,0.009,19.21834684384036,0.0169,,1.3905016,,04133609-4413325,9.913,0.023,0.0,0.0,9.913,6.336634598975605,0.3889146993175162,0.0093160274827254,0.0094560101580113,125.76421765462555,0.0061861793005109,9.312560535690675
Mamonova2025,2MASS J04213904-7233562,,4653517316264299904,65.41367348028,-72.5654192886,4.613,0.045,0.009,0.009,18.65810571272847,0.0194,2.4701345,1.5300982,,04213904-7233562,8.992,0.021,0.0,0.0,8.992,5.3455153883891615,0.5497289377526737,0.0131948891964812,0.0133127371904646,58.4615081039244,0.0789066199216017,4.0871292509513015
